# Генерация 100 уникальных городов (административные центры России, Беларуси, Румынии)
# Формат: add,название,x,y,площадь,население,высота,carCode,климат,уровеньЖизни,ростГубернатора

# === РОССИЯ (85 городов - все административные центры регионов) ===
add,Москва,100,55.75,2500.0,12500000,150,77,RAIN_FOREST,ULTRA_HIGH,180.5
add,Санкт-Петербург,101,59.93,1400.0,5400000,151,78,MEDITERRANIAN,ULTRA_HIGH,175.0
add,Новосибирск,102,55.03,500.0,1600000,152,79,TUNDRA,HIGH,170.0
add,Екатеринбург,103,56.83,490.0,1500000,153,80,RAIN_FOREST,HIGH,185.0
add,Казань,104,55.79,420.0,1250000,154,81,MEDITERRANIAN,HIGH,190.0
add,Нижний Новгород,105,56.32,410.0,1250000,155,82,TUNDRA,MEDIUM,175.5
add,Челябинск,106,55.15,380.0,1200000,156,83,RAIN_FOREST,MEDIUM,165.0
add,Омск,107,54.98,570.0,1160000,157,84,MEDITERRANIAN,MEDIUM,180.0
add,Самара,108,53.19,460.0,1150000,158,85,TUNDRA,MEDIUM,175.0
add,Ростов-на-Дону,109,47.22,350.0,1130000,159,86,RAIN_FOREST,HIGH,170.0
add,Уфа,110,54.73,710.0,1120000,160,87,MEDITERRANIAN,MEDIUM,185.0
add,Красноярск,111,56.01,350.0,1100000,161,88,TUNDRA,MEDIUM,188.0
add,Пермь,112,58.00,390.0,1050000,162,89,RAIN_FOREST,MEDIUM,160.0
add,Воронеж,113,51.66,590.0,1050000,163,90,MEDITERRANIAN,MEDIUM,195.0
add,Волгоград,114,48.70,560.0,1010000,164,91,TUNDRA,MEDIUM,177.0
add,Краснодар,115,45.03,340.0,1000000,165,92,RAIN_FOREST,HIGH,180.0
add,Саратов,116,51.53,390.0,830000,166,93,MEDITERRANIAN,MEDIUM,182.0
add,Тюмень,117,57.15,500.0,820000,167,94,TUNDRA,MEDIUM,169.0
add,Тольятти,118,53.50,310.0,700000,168,95,RAIN_FOREST,MEDIUM,174.0
add,Ижевск,119,56.85,310.0,650000,169,96,MEDITERRANIAN,MEDIUM,186.0
add,Барнаул,120,53.35,321.0,630000,170,97,TUNDRA,MEDIUM,165.0
add,Ульяновск,121,54.31,316.0,620000,171,98,RAIN_FOREST,MEDIUM,170.0
add,Ярославль,122,57.62,205.0,600000,172,99,MEDITERRANIAN,MEDIUM,175.0
add,Владивосток,123,43.11,331.0,600000,173,100,TUNDRA,MEDIUM,180.0
add,Махачкала,124,42.97,280.0,600000,174,101,RAIN_FOREST,HIGH,165.0
add,Томск,125,56.48,295.0,570000,175,102,MEDITERRANIAN,MEDIUM,185.0
add,Оренбург,126,51.76,260.0,560000,176,103,TUNDRA,MEDIUM,175.0
